;nome;cpf;email;endereco;bairro;estado;estado_nome;sigla;telefone;pais;code;cartao_cred;cartao_num;credt_exp;cvv;data;data_hora;digtap_ptcao
10;Sra. Sophie Aparecida;049.136.287-04;ana-beatriz12@example.net;"Lago de Porto, 34
Maria Goretti
37745-879 Lima de Correia / AP";Vila Novo São Lucas;('SE', 'Sergipe');Minas Gerais;PE;+55 03 92959-7285;Finlândia;SN;"Discover
Fernando Pinto
6011184554619557 09/30
CVC: 787
";180057919197246;11/26;412;1991-01-18;1991-08-24 10:31:00.360637;2025-01-03
11;Joaquim da Mata;437.952.160-52;lsousa@example.net;"Distrito de Melo, 6
Engenho Nogueira
01295536 Ferreira / MT";Vila Pinho;('TO', 'Tocantins');Bahia;SP;+55 (09) 9 6209-9161;Venezuela;PY;"VISA 13 digit
Amanda Alves
4699981729465 02/29
CVC: 212
";30328847118923;05/33;999;1970-07-09;2016-10-14 05:52:54.742271;2025-01-03
12;João Miguel Oliveira;580.243.691-33;danilo03@example.com;"Loteamento da Cruz, 14
Mariano De Abreu
87951510 Rios das Flores / SP";Vila Madre Gertrudes 1ª Seção;('CE', 'Ceará');Ceará;AP;+55 (37) 9 3406 8198;Marrocos;NE;"Discover
Maria Cecília Ferreira
6011451048648470 05/33
CVC: 984
";2275394406047663;02/33;367;1976-03-18;2008-09-08 03:05:27.772107;2025-01-03
13;Guilherme Montenegro;549.371.208-32;pintoantonio@example.com;"Esplanada Amanda da Conceição, 27
Nossa Senhora De Fátima
66309358 Rios / RN";Nova Cintra;('RR', 'Roraima');Distrito Federal;SE;+55 64 9 3744 6985;Espanha;NP;"VISA 16 digit
Enzo Farias
4217946128107005 11/28
CVC: 376
";346807632592540;02/32;6196;1973-11-15;1976-05-07 18:13:56.105108;2025-01-03
14;Danilo Sampaio;703.418.296-50;guilherme15@example.org;"Feira de Cirino, 19
Vila São João Batista
83135671 Montenegro / PI";Beira Linha;('RN', 'Rio Grande do Norte');Santa Catarina;PI;+55 (59) 97333 2039;Costa do Marfim;ZW;"Diners Club / Carte Blanche
Melina Jesus
30221820414890 01/29
CVC: 370
";4461961888910327;06/34;418;1978-05-31;1995-10-21 10:30:54.633379;2025-01-03
15;Sophie Pires;593.764.028-47;esterda-rocha@example.net;"Recanto Anna Liz Araújo, 32
Belvedere
86642821 Campos do Oeste / MT";Rio Branco;('MT', 'Mato Grosso');São Paulo;MS;+55 85 91660 4659;Santa Helena;TD;"VISA 19 digit
Isabella Cavalcante
4559803285835763563 07/30
CVC: 611
";4271380859747;04/26;935;2019-11-14;2013-11-07 03:12:35.419845;2025-01-03
16;Fernando Vieira;385.712.064-90;arthur-gabrielduarte@example.org;"Residencial de da Mata, 33
Outro
21070-245 Nogueira / RR";Acaba Mundo;('AC', 'Acre');Paraíba;SE;+55 (80) 96381 4921;Costa do Marfim;BD;"JCB 16 digit
Rebeca Viana
3590911212296600 12/26
CVC: 776
";180062670181074;01/30;752;2022-02-17;1987-05-05 18:51:10.323411;2025-01-03
17;Yago Aragão;307.642.958-29;heloisarocha@example.com;"Núcleo Vitor Gabriel Machado, 61
Confisco
55690-747 Macedo Paulista / PA";Guarani;('BA', 'Bahia');Pernambuco;SP;+55 65 94529-7073;Congo-Brazzaville;GB;"Diners Club / Carte Blanche
Aylla Pinto
30105740345468 05/31
CVC: 145
";379284400668169;11/34;2208;1983-05-06;1982-09-26 03:47:00.672329;2025-01-03
18;Hellena da Mota;216.789.403-13;riosotavio@example.org;"Alameda Rael Mendonça, 8
Serra Do Curral
49044-925 Teixeira de Lima / RN";São Jorge 1ª Seção;('GO', 'Goiás');Amazonas;DF;+55 31 9 4146 9808;Fiji;PT;"Diners Club / Carte Blanche
Diogo Cardoso
30044636135800 09/25
CVC: 116
";3550848228273637;06/28;573;1974-09-15;2017-01-08 03:03:38.654715;2025-01-03
19;Ana Laura Sales;198.436.705-66;azevedomelina@example.com;"Lago Levi Vasconcelos, 323
Europa
80416-429 Borges da Praia / RS";Vila Batik;('AP', 'Amapá');Roraima;PA;+55 47 9 1751 9842;Benim;MH;"VISA 16 digit
Augusto Dias
4771522864568284 11/26
CVC: 864
";2223916918982509;11/32;0837;2021-06-04;1996-08-26 20:52:03.993241;2025-01-03
20;Dra. Isabel Teixeira;082.761.934-04;joao-felipe54@example.com;"Conjunto Isaque da Rosa, 59
Vila Barragem Santa Lúcia
50138205 Moreira das Flores / BA";Independência;('RO', 'Rondônia');Pernambuco;SC;+55 (40) 90842-4205;Domínica;CO;"VISA 19 digit
Gabriela Montenegro
4608004844096928455 03/26
CVC: 969
";4790255277868606;11/31;137;2003-09-04;2000-02-05 12:21:26.858489;2025-01-03
21;Ana Lívia Mendes;341.782.956-91;ana-julia02@example.net;"Distrito Amanda Araújo, 12
Eymard
39913675 Farias / SP";Graça;('MA', 'Maranhão');Bahia;PI;+55 (60) 91793 3920;Malávi;BJ;"VISA 13 digit
Joaquim da Mota
4276440987792 03/28
CVC: 960
";3503833838989226;08/31;559;1990-12-12;1984-10-01 14:45:58.023529;2025-01-03
22;Agatha Ribeiro;274.619.035-43;irezende@example.org;"Via de Fogaça, 11
Vila São Gabriel
10284694 Pimenta / PR";Beira Linha;('BA', 'Bahia');Tocantins;RS;+55 61 98846-0792;Países Baixos;AU;"VISA 16 digit
Laura Nascimento
4019257688761870 08/27
CVC: 483
";6563689012936965;01/27;579;1987-06-15;1980-06-25 06:21:10.267087;2025-01-03
23;Dr. Bento Barros;764.359.018-48;ryannovaes@example.org;"Viela de Aragão
Vila Da Ária
27093109 Alves / AP";Coração De Jesus;('PB', 'Paraíba');Pará;RJ;+55 (56) 9 2650 2448;Tailândia;ET;"VISA 13 digit
Paulo Mendonça
4202986165536 03/33
CVC: 822
";3576942622361930;05/30;031;2013-06-19;2006-06-23 08:29:44.704528;2025-01-03
24;Laura da Rosa;172.460.395-70;barbara07@example.net;"Trecho Rocha, 81
Santa Rita
07322-566 da Conceição / AM";Vila Primeiro De Maio;('PI', 'Piauí');Santa Catarina;MT;+55 (46) 9 4360-6242;Mauritânia;AD;"VISA 16 digit
Stella Pacheco
4102647258103289 11/32
CVC: 185
";4699497603378;07/32;224;1986-06-25;1974-12-25 11:00:49.481457;2025-01-03
25;Gabriel Gomes;716.984.503-20;jesuscecilia@example.com;"Parque Marcelo Jesus
Heliopolis
56719557 Barbosa / PI";Parque São Pedro;('ES', 'Espírito Santo');Rio Grande do Norte;SP;+55 85 96706 4441;Camboja;IN;"JCB 16 digit
Isabela Vieira
3577900790979478 02/28
CVC: 904
";4307369224126541;10/28;963;2018-03-29;2000-07-16 11:50:43.375203;2025-01-03
26;Marcelo Pinto;073.845.612-80;abreuhellena@example.net;"Passarela de Fogaça, 2
Conjunto Paulo Vi
29172-380 Almeida da Praia / PA";Dom Joaquim;('PI', 'Piauí');Piauí;RR;+55 (42) 9 8350 9135;Bielorrússia;IQ;"Mastercard
Cauê Cunha
2720893703166168 03/30
CVV: 221
";4124243184302668;11/31;916;2021-03-04;1996-02-05 18:22:10.047669;2025-01-03
27;Dr. Thales Martins;068.549.231-15;luiz-gustavojesus@example.com;"Lago Campos, 346
Alpes
14065-373 Teixeira / PA";Bela Vitoria;('RR', 'Roraima');Acre;TO;+55 56 9 7456-7335;Anguila;BA;"VISA 16 digit
Marcela Silveira
4463004016557211 02/32
CVC: 224
";676261245887;03/30;8596;2010-01-25;2000-09-09 22:15:00.730565;2025-01-03
28;Julia Silva;978.350.642-00;pachecofernando@example.net;"Residencial da Rosa, 5
Lourdes
95341536 Vargas / SE";Madre Gertrudes;('MS', 'Mato Grosso do Sul');São Paulo;PR;+55 (096) 95918-2812;Vaticano;BB;"VISA 13 digit
Evelyn Azevedo
4826549638421 12/25
CVC: 556
";4387106042405456;03/30;3935;1982-01-23;1994-11-28 11:34:45.503692;2025-01-03
29;Davi Miguel Gomes;243.976.810-31;pintofrancisco@example.org;"Campo Enzo Rodrigues, 9
Itatiaia
82665-002 Pires da Prata / AL";Ápia;('SP', 'São Paulo');Tocantins;DF;+55 (43) 9 5867-3098;Arábia Saudita;DJ;"Mastercard
Oliver Freitas
2678360112515908 03/26
CVV: 757
";639070405555;03/25;893;1972-09-09;2008-08-14 02:28:44.905874;2025-01-03
30;Amanda Marques;815.934.702-23;znovaes@example.org;"Área Pimenta, 75
Vila Copacabana
56932956 Vargas / TO";Nova Floresta;('PB', 'Paraíba');Alagoas;PI;+55 83 90883-2635;Guam;KN;"VISA 13 digit
Vinicius Fogaça
4698616605371 01/28
CVC: 025
";6011881355061240;08/33;317;2015-04-24;2020-11-13 20:13:16.191528;2025-01-03
31;Carolina Duarte;682.473.901-40;yan42@example.com;"Pátio Enzo Gabriel Araújo, 24
Bairro Das Indústrias Ii
82302306 Mendonça / BA";Olhos D'água;('SC', 'Santa Catarina');Amazonas;AP;+55 05 95496-6837;Belize;CH;"Maestro
Evelyn Vasconcelos
676176062815 12/32
CVV: 390
";341192747819731;05/30;871;2019-05-28;2016-07-08 22:44:04.153736;2025-01-03
32;Arthur Gabriel Silva;705.326.184-08;alexiapastor@example.org;"Lago Azevedo, 696
Embaúbas
86262667 Ramos de Mendes / MS";Santa Cruz;('MT', 'Mato Grosso');Pará;TO;+55 49 92912 4667;Costa do Marfim;LU;"Mastercard
João Vitor Correia
2335304707907406 04/34
CVV: 093
";213139964308166;07/29;953;1985-08-18;2002-09-10 03:38:09.984800;2025-01-03
33;Sra. Cecília Andrade;315.820.764-80;mathias68@example.com;"Colônia Letícia da Luz, 659
Jardim Leblon
30178406 Mendes / PA";União;('PA', 'Pará');Mato Grosso;AC;+55 46 97017 7058;Congo-Brazzaville;ET;"Diners Club / Carte Blanche
Apollo Ferreira
30001487214134 09/27
CVC: 625
";4693206031197905;10/27;212;2015-01-24;1998-07-13 18:22:35.720056;2025-01-03
34;Antony Costa;418.205.796-11;souzaana-beatriz@example.net;"Viela de Sales, 24
Vila Barragem Santa Lúcia
09850763 Alves de Siqueira / ES";Nova Gameleira;('PB', 'Paraíba');Amazonas;AL;+55 47 97741 4706;Jordânia;TD;"JCB 16 digit
Vitor Peixoto
3547860697318427 08/32
CVC: 478
";676385313140;05/29;534;1977-12-15;1974-01-18 10:58:30.443127;2025-01-03
35;Josué da Luz;052.849.367-10;yurida-cruz@example.net;"Conjunto Borges, 509
Marieta 2ª Seção
65115-725 Costela / PA";Minas Brasil;('CE', 'Ceará');Mato Grosso do Sul;MT;+55 (060) 93346-0937;Gana;IE;"Mastercard
Carolina Jesus
2296185291660858 05/30
CVV: 518
";3537647977752405;08/31;972;1976-10-10;2011-12-22 23:49:57.582353;2025-01-03
36;Ana Cecília Dias;753.208.146-07;cavalcantisophie@example.org;"Área João Lucas Novais, 28
Novo Tupi
72636-512 Rocha Grande / PI";Primeiro De Maio;('RN', 'Rio Grande do Norte');Rondônia;MT;+55 61 91994 2129;Ilhas Turcas e Caicos;BF;"JCB 16 digit
Anna Liz Cassiano
3518251391434501 01/33
CVC: 025
";349649200292047;04/34;265;1995-07-02;2007-02-03 16:54:05.996112;2025-01-03
37;Dr. Caleb Borges;705.342.681-53;bryan12@example.net;"Loteamento de da Rocha, 5
Belvedere
67259-434 Vasconcelos / RJ";São Francisco;('BA', 'Bahia');São Paulo;AC;+55 (10) 91704 2320;Chipre;CV;"Mastercard
Sophia Moura
5583841984679069 09/29
CVV: 931
";630455167852;10/27;782;2018-11-26;1970-11-21 17:49:08.438876;2025-01-03
38;Bento Macedo;982.036.754-92;estherda-mota@example.net;"Trecho Miguel Carvalho, 66
Caetano Furquim
36532752 Sá / MG";Minas Caixa;('MS', 'Mato Grosso do Sul');São Paulo;PI;+55 66 94036 7740;Chipre;FM;"Diners Club / Carte Blanche
Ana Clara Melo
30544911122878 05/25
CVC: 179
";2242270676852455;01/32;384;1978-05-29;1995-04-23 22:49:00.726576;2025-01-03
39;Gustavo Henrique Sampaio;732.196.450-70;omonteiro@example.com;"Fazenda Mendonça
Urca
32439-741 Abreu de das Neves / RO";Ribeiro De Abreu;('PR', 'Paraná');Sergipe;CE;+55 (12) 9 2526 9310;Dhekelia;TL;"JCB 16 digit
Mariane Fogaça
3581145805221227 11/28
CVC: 400
";3572147155229835;06/27;431;1992-07-09;1973-04-12 21:48:32.824538;2025-01-03
40;Gael Henrique Ribeiro;521.967.304-16;ana-laura70@example.org;"Ladeira Mendes, 156
Pirineus
14854906 Siqueira de Minas / AP";Nossa Senhora Da Aparecida;('RN', 'Rio Grande do Norte');São Paulo;PA;+55 (054) 97059 9273;São Cristóvão e Neves;DO;"Mastercard
Valentim Ferreira
5124805009532104 06/31
CVV: 369
";180091689701663;01/33;922;1981-02-17;2008-11-30 01:37:16.601587;2025-01-03
41;Sophie Leão;581.724.360-17;ufreitas@example.com;"Travessa de Novaes, 777
Coração De Jesus
25644-180 Nunes do Norte / RN";Aparecida;('GO', 'Goiás');Goiás;AP;+55 (021) 98038-4684;Suriname;BZ;"VISA 19 digit
Juliana Albuquerque
4101286795961674811 06/26
CVC: 925
";4977560524238;07/27;913;1980-11-03;2020-02-24 08:52:34.971814;2025-01-03
42;Davi Luiz da Conceição;478.691.053-84;melina13@example.net;"Recanto Martins, 164
São Benedito
76596838 Macedo / TO";Santa Rita;('SC', 'Santa Catarina');Espírito Santo;BA;+55 07 95521 9090;Congo-Kinshasa;SV;"Maestro
Ana Lívia Peixoto
060483470781 12/32
CVV: 810
";377824031938408;06/25;355;1996-05-28;1986-05-24 20:20:14.202363;2025-01-03
43;Beatriz Novais;482.539.671-28;thomas70@example.com;"Colônia Ayla Moreira, 40
Vila São Geraldo
07845661 Moreira / ES";Satelite;('RO', 'Rondônia');São Paulo;GO;+55 (071) 94690 5450;Somália;CD;"VISA 13 digit
Sofia Nogueira
4397888684384 03/32
CVC: 707
";5423279411159740;09/33;764;2000-06-09;2012-08-02 00:40:34.075888;2025-01-03
44;Maria Vitória Albuquerque;051.742.398-79;maitepeixoto@example.com;"Jardim de Câmara, 13
Santa Margarida
51594862 Albuquerque / AP";Nazare;('PA', 'Pará');Roraima;SC;+55 43 92689 0137;Tajiquistão;AD;"VISA 13 digit
Noah Rocha
4723403533725 04/27
CVC: 745
";213128519498598;11/32;838;1981-05-29;2002-08-28 21:23:50.065519;2025-01-03
45;Ryan Melo;930.251.648-24;bsantos@example.net;"Trevo Sousa, 16
Conjunto Taquaril
75045504 Lopes / TO";Silveira;('CE', 'Ceará');Santa Catarina;MT;+55 (041) 97927 2923;Uruguai;CI;"Mastercard
Gustavo Camargo
5129523781747528 01/32
CVV: 664
";4750612210173643;01/31;715;2002-03-17;1975-03-20 17:32:49.082715;2025-01-03
46;Camila Abreu;589.764.023-83;xmoraes@example.com;"Conjunto Ayla Caldeira, 13
Novo Tupi
46918-791 Costa de Moreira / PB";Flavio Marques Lisboa;('RR', 'Roraima');Mato Grosso do Sul;MS;+55 89 91306 4496;Reino Unido;MY;"JCB 15 digit
Ana Beatriz Andrade
213177280581678 01/28
CVC: 248
";4130990672412935008;10/30;403;1984-06-20;1987-05-15 21:02:16.368010;2025-01-03
47;Sophie Gomes;257.941.683-82;rmartins@example.com;"Campo de Aragão, 68
Vila Madre Gertrudes 1ª Seção
51360501 Nascimento / PB";Vila Esplanada;('RO', 'Rondônia');Pará;MT;+55 79 9 8678-7347;Reino Unido;TW;"Discover
Fernando Aparecida
6011582435867032 01/26
CVC: 560
";3522202333804032;07/29;257;1994-04-11;1980-11-04 06:59:34.233180;2025-01-03
48;Cauê Araújo;630.842.791-87;kpeixoto@example.org;"Passarela de Rios, 36
Havaí
35756653 Cassiano de Goiás / PB";Vila Antena Montanhês;('MT', 'Mato Grosso');Paraíba;BA;+55 (68) 9 6871 3527;Jersey;MN;"VISA 13 digit
Augusto Duarte
4098682583083 01/34
CVC: 702
";348988926500965;06/30;866;1975-02-16;2010-02-24 02:27:51.682268;2025-01-03
49;Rafaela da Cunha;802.749.356-00;joao-vitor44@example.net;"Estrada de Câmara, 1
Dom Silverio
34027136 da Conceição da Prata / AP";Pindorama;('SC', 'Santa Catarina');Rio Grande do Norte;MT;+55 (24) 98592-6431;Mayotte;LC;"American Express
Gustavo Barbosa
375091374181895 03/27
CID: 7711
";213148957152598;09/33;929;2003-01-19;2013-08-19 01:39:06.378977;2025-01-03
50;Dr. Francisco Siqueira;475.382.190-05;zandrade@example.org;"Distrito de da Mata, 2
Embaúbas
11804-127 Moura da Prata / AL";Maria Virgínia;('CE', 'Ceará');Rio Grande do Sul;SC;+55 (45) 94428 1554;Jordânia;MK;"VISA 13 digit
Clarice Peixoto
4102795022573 02/29
CVC: 264
";5569062009989031;10/25;927;2003-06-30;2003-04-02 02:08:23.584356;2025-01-03
51;Ravi Pinto;172.469.580-02;lopesgabrielly@example.org;"Campo Valentina Caldeira, 4
Conjunto Jatoba
02779-218 Albuquerque / MG";Santa Margarida;('SP', 'São Paulo');Sergipe;DF;+55 (92) 9 7635-3047;Canadá;BE;"JCB 16 digit
Luana da Luz
3586839789560858 03/28
CVC: 933
";213199322603211;04/28;973;2011-09-23;2014-01-07 22:51:59.303141;2025-01-03
52;Alana Santos;534.816.902-15;mcaldeira@example.org;"Jardim de Lima
Nova Suíça
78845840 Novaes de Ferreira / RO";Tirol;('BA', 'Bahia');Amapá;PE;+55 (064) 95428-5731;Zâmbia;JM;"VISA 16 digit
Alana Peixoto
4260512815617148 11/33
CVC: 168
";3568426916709657;01/27;325;1992-10-13;2003-04-01 08:00:30.120533;2025-01-03
53;Melina Vasconcelos;840.217.953-32;pribeiro@example.org;"Parque de Viana, 4
Serra Verde
99534156 Novais / AM";Vila Da Paz;('SE', 'Sergipe');Rio de Janeiro;SC;+55 18 99960 5819;Burundi;CR;"JCB 16 digit
Ravi Lucca Alves
3510369214968485 09/27
CVC: 780
";4460371583311003295;03/27;049;2004-07-26;1976-09-30 04:09:06.802779;2025-01-03
54;Maria Alice Lopes;631.590.278-21;carvalhocaua@example.net;"Travessa Ribeiro, 71
Carlos Prates
40481024 Caldeira / SC";Cabana Do Pai Tomás;('AP', 'Amapá');Goiás;SE;+55 (083) 97786-4840;Burundi;BE;"Discover
José Pastor
6591434390165010 06/27
CVC: 705
";2295679344604138;03/25;413;2007-09-12;2004-05-12 21:54:17.396033;2025-01-03
55;Srta. Allana Farias;287.493.610-31;sousavitoria@example.net;"Residencial de Azevedo, 31
Pindura Saia
12671352 Novais de Minas / DF";Dom Silverio;('MG', 'Minas Gerais');Espírito Santo;PE;+55 (14) 94932 1570;Benim;MZ;"JCB 16 digit
João Pedro Camargo
3584806233380466 07/29
CVC: 690
";6011994950356897;01/25;475;1987-08-10;2023-06-24 11:09:09.308253;2025-01-03
56;Cauã Aparecida;316.780.549-84;costelagabrielly@example.com;"Vila de das Neves, 76
Rio Branco
77483-307 Nascimento Paulista / AC";Chácara Leonina;('DF', 'Distrito Federal');Alagoas;GO;+55 (08) 92487-5700;Dhekelia;CF;"American Express
Hellena Montenegro
340398464617965 06/29
CID: 2705
";4819650873884451;02/26;745;2010-05-10;1992-01-15 16:36:08.231277;2025-01-03
57;Maria Flor Pinto;736.459.821-91;caua06@example.org;"Chácara de Fonseca, 433
Vila Tirol
79245565 Nascimento do Norte / DF";Maria Helena;('AM', 'Amazonas');Goiás;RO;+55 91 9 3818-9523;Timor Leste;KH;"Discover
Luara Sá
6502371759700615 12/29
CVC: 875
";3515250607124156;05/27;300;1983-08-19;2019-01-26 08:22:28.504807;2025-01-03
58;Maria Santos;976.350.841-00;cassianoisis@example.org;"Condomínio de Vasconcelos
Fazendinha
02814-584 Rodrigues do Oeste / AP";Vila São Geraldo;('RO', 'Rondônia');Maranhão;PR;+55 (077) 94025 7142;São Tomé e Príncipe;GW;"VISA 19 digit
Isabela da Cunha
4386992799436314484 07/27
CVC: 279
";378765595367733;08/30;757;2012-11-02;1982-02-14 14:02:01.680386;2025-01-03
59;Ian Mendes;869.215.304-42;ericksilveira@example.com;"Vereda Bianca Garcia
Piratininga
13115-512 Marques / RO";Jatobá;('SP', 'São Paulo');Rio de Janeiro;PI;+55 17 95093 5185;São Cristóvão e Neves;LA;"Maestro
Otávio da Costa
675974037698 11/26
CVV: 418
";2235753149505817;07/30;213;2022-09-14;1978-08-25 13:45:01.936483;2025-01-03
60;Diogo Moura;593.827.041-32;vmoura@example.org;"Esplanada de Costela, 45
Vila Cemig
41833442 Marques do Oeste / PA";Aarão Reis;('CE', 'Ceará');Bahia;RS;+55 (61) 9 5914-8833;Uganda;DJ;"JCB 16 digit
Lorena Campos
3597590363658652 01/29
CVC: 199
";36036972906905;01/27;137;1992-12-04;2014-08-15 18:25:07.438661;2025-01-03
61;Arthur Almeida;203.784.956-74;ebrito@example.com;"Rodovia Igor Gomes, 97
Pirineus
08165-093 Câmara / ES";Santa Helena;('ES', 'Espírito Santo');Pernambuco;PB;+55 77 90634 0064;Congo-Kinshasa;PG;"American Express
Bella Cunha
373595279224750 11/31
CID: 6089
";676196347469;07/32;720;2009-11-24;1999-10-07 01:42:11.931633;2025-01-03
62;Sr. Igor Pacheco;578.360.912-95;isabelly09@example.org;"Pátio de Martins, 40
Vila Suzana Segunda Seção
42661900 Sá do Campo / PB";Alto Das Antenas;('SP', 'São Paulo');Paraná;CE;+55 21 9 6132-8690;Peru;ER;"Discover
Lucca Barbosa
6561318930358985 03/33
CVC: 458
";4025895263617439;10/34;339;2018-08-05;1998-12-23 19:41:35.251398;2025-01-03
63;Dra. Heloisa Sampaio;187.569.340-84;maria-lizda-rocha@example.org;"Viaduto Mariane Macedo, 766
Barro Preto
70459-855 Aparecida / TO";Vera Cruz;('RR', 'Roraima');Tocantins;CE;+55 33 92065 4349;Malávi;MU;"Discover
Luiz Felipe Jesus
6011265802296924 01/25
CVC: 954
";4216205105971963002;07/33;472;2003-03-13;2017-02-06 20:34:25.717587;2025-01-03
64;Ana Beatriz Dias;512.049.638-51;anovais@example.net;"Lagoa Silva, 96
Nazare
96403175 Rocha de Câmara / MG";Maria Helena;('MA', 'Maranhão');Paraíba;AC;+55 19 9 7980-9695;Espanha;HT;"Mastercard
Mirella Cirino
2224143297910105 02/28
CVV: 613
";4846653983053154;08/33;246;1993-08-24;1994-07-13 06:28:19.039477;2025-01-03
65;Sr. Augusto Souza;981.365.427-91;tporto@example.com;"Morro de da Cunha, 58
Minas Brasil
86164-019 Freitas do Norte / AM";Mangabeiras;('RJ', 'Rio de Janeiro');Acre;RN;+55 (53) 9 6474-7438;Tuvalu;RS;"VISA 16 digit
Maria Cecília Moura
4113064111876860 11/25
CVC: 313
";6593428834930995;12/34;088;1997-08-22;1984-10-18 01:53:44.948281;2025-01-03
66;Vitória Rocha;340.918.265-98;hadassa71@example.org;"Largo Costela, 616
Nossa Senhora De Fátima
48251310 Sales de Goiás / AM";Vila Nova Cachoeirinha 3ª Seção;('DF', 'Distrito Federal');Pernambuco;RO;+55 (10) 90425 2724;Venezuela;UZ;"Diners Club / Carte Blanche
Rhavi Cunha
30031227361838 03/30
CVC: 412
";569870560566;05/34;454;1982-07-15;2022-01-26 00:50:15.451246;2025-01-03
67;Emilly Sampaio;852.139.460-89;antonymoraes@example.com;"Praia José da Mota, 75
Conjunto Floramar
60630-729 Costa / MT";Laranjeiras;('RS', 'Rio Grande do Sul');Mato Grosso;RS;+55 (92) 92950-1398;Burquina Faso;KP;"VISA 16 digit
Rodrigo Souza
4043719378226886 09/28
CVC: 116
";3519769716884976;05/26;143;1974-09-19;1990-06-01 21:02:53.708647;2025-01-03
